SchoolName,Borough,ZipCode,LastInspection,ViolationDescription
BETH RIVKAH HS,Brooklyn,11225,03/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
BETH RIVKAH HS,Brooklyn,11225,03/16/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BETH RIVKAH HS,Brooklyn,11225,03/16/2023,Evidence of rats or live rats in establishment's food or non-food areas.
BISHOP LOUGHLIN MEMORIAL HIGH SCHOOL,Brooklyn,11238,11/07/2022,Evidence of mice or live mice in establishment's food or non-food areas.
BNEI SHIMON YISROEL OF SOPRON,Brooklyn,11205,11/15/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS CHAYA STATEN ISLAND,Staten Island,10314,03/22/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS CHAYIL,Brooklyn,11211,11/15/2022,Evidence of mice or live mice in establishment's food or non-food areas.
BNOS CHAYIL,Brooklyn,11211,11/15/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS MALKA ACADEMY,Queens,11375,01/05/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS MALKA ACADEMY,Queens,11375,01/05/2023,Evidence of mice or live mice in establishment's food or non-food areas.
BNOS MALKA ACADEMY,Queens,11375,01/05/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS MENACHEM,Brooklyn,11203,02/13/2023,Evidence of mice or live mice in establishment's food or non-food areas.
BNOS SPINKA SCHOOL,Brooklyn,11206,01/19/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS SPINKA SCHOOL,Brooklyn,11206,01/19/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS SPINKA SCHOOL,Brooklyn,11206,01/19/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS YAKOV SCHOOL,Brooklyn,11218,02/13/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS YAKOV SCHOOL,Brooklyn,11218,02/13/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS YAKOV SCHOOL FOR GIRLS,Brooklyn,11211,02/16/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BNOS YAKOV SCHOOL FOR GIRLS,Brooklyn,11211,02/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
BNOS ZION OF BOBOV,Brooklyn,11219,03/09/2023,Evidence of mice or live mice in establishment's food or non-food areas.
BOBOVER YESHIVA BNEI ZION,Brooklyn,11219,02/14/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BOBOVER YESHIVA BNEI ZION,Brooklyn,11218,03/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
BOBOVER YESHIVA BNEI ZION,Brooklyn,11218,03/15/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BOBOVER YESHIVA BNEI ZION,Brooklyn,11219,02/23/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BOBOVER YESHIVA BNEI ZION,Brooklyn,11219,02/23/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BOBOVER YESHIVAH BNEI ZION,Brooklyn,11219,01/12/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BOBOVER YESHIVAH BNEI ZION,Brooklyn,11219,01/12/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
BOBOVER YESHIVAH BNEI ZION,Brooklyn,11219,01/12/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"BRIGHTER CHOICE COMMUNITY SCHOOL, P.S. K140",Brooklyn,11206,10/20/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"BROCK AND COMPANY, INC.",Manhattan,10014,10/26/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
BRONX CHARTER SCHOOL FOR CHILDREN,Bronx,10454,10/12/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"BRONX ENGINEERING AND TECHNOLOGY ACADEMY. BRONX SCHOOL OF LAW AND FINANCE, BRONX THEATRE HIGH SCHOOL",Bronx,10463,02/08/2023,Evidence of mice or live mice in establishment's food or non-food areas.
BRONX HIGH SCHOOL OF SCIENCE,Bronx,10468,01/04/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"BRONX HS FOR WRITING & COMMUNICATION, BRONX LAB SCHOOL, HS OF COMPUTERS & TECHNOLOGY, BRONX ACADEMY",Bronx,10467,02/14/2023,Evidence of mice or live mice in establishment's food or non-food areas.
BROOKLYN EMERGING LEADERS ACADEMY CHARTER HS,Brooklyn,11221,12/21/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"BROOKLYN LANDMARK ELEMENTARY SCHOOL, BROOKLYN ENVIRONEXPLORATION SCH BEES",Brooklyn,11233,10/06/2022,Evidence of rats or live rats present in facility's food and/or non-food areas.
"BROOKLYN NEW SCHOOL-PS 146 (THE), BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES",Brooklyn,11231,10/27/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"BROOKLYN NEW SCHOOL-PS 146 (THE), BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES",Brooklyn,11231,10/27/2022,Evidence of mice or live mice in establishment's food or non-food areas.
BROOKLYN S.D.A. ELEMENTARY SCHOOL,Brooklyn,11230,01/20/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"BROOKLYN STUDIO SECONDARY SCHOOL, P.S. K771",Brooklyn,11214,12/20/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
BROOKLYN URBAN GARDEN CHARTER SCHOOL,Brooklyn,11215,11/16/2022,Evidence of mice or live mice in establishment's food or non-food areas.
BROOME STREET ACADEMY CHARTER SCHOOL,Manhattan,10013,02/10/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"BUTTER BEANS, INC.",Brooklyn,11231,03/08/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CANARSIE ASCEND CHARTER SCHOOL,Brooklyn,11236,01/11/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CENTRAL UTA,Brooklyn,11206,01/12/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CENTRAL UTA,Brooklyn,11205,01/12/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CENTRAL UTA,Brooklyn,11249,01/13/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CENTRAL UTA,Brooklyn,11249,01/13/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CHANNEL VIEW SCHOOL FOR RESEARCH - Q262,Queens,11694,11/14/2022,Evidence of mice or live mice in establishment's food or non-food areas.
CHASIDEI BELZ BETH MALKA,Brooklyn,11204,12/14/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL, I HIGH SCHOOL",Manhattan,10013,02/03/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CHRIST THE KING HIGH SCHOOL,Queens,11379,10/07/2022,Evidence of mice or live mice in establishment's food or non-food areas.
CHRIST THE KING HIGH SCHOOL,Queens,11379,10/07/2022,Evidence of mice or live mice in establishment's food or non-food areas.
CHRIST THE KING SCHOOL,Bronx,10452,10/31/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"CHRISTOPHER AVENUE COMMUNITY SCHOOL, LEADERSHIP PREP OCEAN HILL MIDDLE CS, LEADERSHIP PREPARATORY OC",Brooklyn,11212,11/07/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"CLARA BARTON HIGH SCHOOL, P.S. K753 - SCHOOL FOR CAREER DEVELOPMENT",Brooklyn,11225,03/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CONEY ISLAND PREP CHARTER SCHOOL HIGH SCHOOL,Brooklyn,11223,02/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CONGREGATION CHASIDEI BELZ BETH MALKA,Brooklyn,11219,02/14/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CONGREGATION CHASIDEI BELZ BETH MALKA,Brooklyn,11219,02/14/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CONGREGATION MACHNA SHALVA,Brooklyn,11219,02/15/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CONGREGATION MACHNA SHALVA,Brooklyn,11219,02/15/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CONGREGATION MACHNA SHALVA,Brooklyn,11219,02/15/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CONGREGATION MACHNA SHALVA,Brooklyn,11219,02/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CONGREGATION MACHNA SHALVA,Brooklyn,11219,03/13/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45,Brooklyn,11236,02/14/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CONGREGATION MACHNA SHALVA-YESHIVA KATANA OF BOBOV-45,Brooklyn,11236,02/14/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CONGREGATION YESHIVA BEIS CHAYA MUSURA,Brooklyn,11213,02/14/2023,Evidence of mice or live mice in establishment's food or non-food areas.
CORLEARS SCHOOL,Manhattan,10011,10/17/2022,Evidence of mice or live mice in establishment's food or non-food areas.
CREO COLLEGE PREP MIDDLE SCHOOL,Bronx,10451,01/26/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
CREO COLLEGE PREP MIDDLE SCHOOL,Bronx,10451,01/26/2023,Evidence of mice or live mice in establishment's food or non-food areas.
DARCHAI MENACHEM INC,Brooklyn,11203,01/24/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
DE WITT CLINTON HIGH SCHOOL,Bronx,10468,03/09/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
DIVINE MERCY CATHOLIC ACADEMY,Queens,11416,11/22/2022,Evidence of mice or live mice in establishment's food or non-food areas.
DOS AMIGOS SCHOOL IN THE SQUARE,Manhattan,10034,12/16/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE, P.S. K004, EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE",Brooklyn,11208,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE, P.S. K004, EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE",Brooklyn,11208,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"EAST SIDE MIDDLE SCHOOL, P.S. 138 @ IS 114M",Manhattan,10128,02/07/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"EDWARD R. MURROW HIGH SCHOOL, PATHWAYS TO GRADUATION @ EDWARD R. MURROW HIGH SCHOOL, P.S. K811 CONNI",Brooklyn,11230,12/08/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"EDWARD R. MURROW HIGH SCHOOL, PATHWAYS TO GRADUATION @ EDWARD R. MURROW HIGH SCHOOL, P.S. K811 CONNI",Brooklyn,11230,12/08/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
EISEK HATORAH,Brooklyn,11236,02/14/2023,Evidence of mice or live mice in establishment's food or non-food areas.
EISEK HATORAH,Brooklyn,11236,02/14/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"ELLA BAKER SCHOOL, P.S. M226, URBAN ACADEMY LABORATORY HIGH SCHOOL, VANGUARD HIGH SCHOOL, MANHATTAN",Manhattan,10065,03/10/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
FIELDSTON SCHOOL-UPPER,Bronx,10471,12/08/2022,Evidence of mice or live mice in establishment's food or non-food areas.
FLATBUSH S.D.A. SCHOOL,Brooklyn,11203,01/13/2023,Evidence of mice or live mice in establishment's food or non-food areas.
