,Year,Code,count
57,2022,10F,1159
58,2022,08A,493
59,2022,10B,423
60,2022,04L,400
61,2022,04A,233
62,2022,04N,142
63,2022,06C,136
64,2022,02G,116
65,2022,18A,107
66,2022,10E,94
67,2022,06D,90
68,2022,09A,88
69,2022,10H,73
70,2022,02B,69
71,2022,08C,63
72,2022,18-01,62
73,2022,05D,58
74,2022,04J,57
75,2022,04M,47
76,2022,22C,46
77,2022,10C,45
78,2022,10I,35
79,2022,10J,33
80,2022,10A,32
81,2022,20D,32
82,2022,04H,29
83,2022,20-04,25
84,2022,06A,25
85,2022,09C,24
86,2022,22G,23
87,2022,28-03,19
88,2022,16B,18
89,2022,10G,16
90,2022,09E,16
91,2022,06E,16
92,2022,18-11,15
93,2022,06F,15
94,2022,18G,11
95,2022,09B,11
96,2022,10D,8
97,2022,08B,7
98,2022,02H,6
99,2022,05H,6
100,2022,04K,5
101,2022,19-04,5
102,2022,03D,4
103,2022,16-02,3
104,2022,20A,2
105,2022,02A,2
106,2022,28-01,2
107,2022,04F,2
108,2022,18F,2
109,2022,04D,1
110,2022,04E,1
111,2022,04O,1
112,2022,05E,1
113,2022,04C,1
114,2022,03G,1
115,2022,02I,1
116,2022,02C,1
117,2022,18-08,1
118,2022,22A,1
119,2022,06B,1
