,Year,Code,count
16,2021,10F,541
17,2021,10B,225
18,2021,08A,148
19,2021,04L,107
20,2021,04A,67
21,2021,04N,45
22,2021,02G,44
23,2021,06C,44
24,2021,22C,42
25,2021,08C,34
26,2021,04J,32
27,2021,04M,31
28,2021,06D,31
29,2021,09A,26
30,2021,10J,23
31,2021,10I,22
32,2021,10C,22
33,2021,10E,21
34,2021,10H,16
35,2021,20D,14
36,2021,06A,10
37,2021,04H,9
38,2021,22G,9
39,2021,09C,8
40,2021,05D,8
41,2021,02B,7
42,2021,10A,6
43,2021,10D,5
44,2021,18G,5
45,2021,18D,5
46,2021,18A,4
47,2021,09B,3
48,2021,22A,2
49,2021,04K,2
50,2021,02H,2
51,2021,18B,2
52,2021,05H,2
53,2021,06F,2
54,2021,16B,2
55,2021,04E,1
56,2021,05B,1
